mechanism,XH2_fuel,P_atm,T_K,1000/T,phi,diluent,label,IDT_s,IDT_ms
Reduced,0.0,1.4,1552.6315789473683,0.6440677966101696,1.0,AR,FigS1_1.4atm,0.009467971745220898,9.467971745220897
Reduced,0.0,1.4,1605.2631578947369,0.6229508196721312,1.0,AR,FigS1_1.4atm,0.006340817467838876,6.340817467838876
Reduced,0.0,1.4,1657.8947368421052,0.6031746031746031,1.0,AR,FigS1_1.4atm,0.00439349732632696,4.39349732632696
Reduced,0.0,1.4,1710.5263157894738,0.5846153846153845,1.0,AR,FigS1_1.4atm,0.003135738552614474,3.135738552614474
Reduced,0.0,1.4,1763.157894736842,0.5671641791044776,1.0,AR,FigS1_1.4atm,0.002295168971084328,2.2951689710843284
Reduced,0.0,1.4,1815.7894736842104,0.5507246376811594,1.0,AR,FigS1_1.4atm,0.0017193276866647304,1.7193276866647305
Reduced,0.0,1.4,1868.421052631579,0.5352112676056338,1.0,AR,FigS1_1.4atm,0.0013132406851764605,1.3132406851764604
Reduced,0.0,1.4,1921.0526315789473,0.5205479452054794,1.0,AR,FigS1_1.4atm,0.0010220499758885635,1.0220499758885635
Reduced,0.0,1.4,1973.6842105263158,0.5066666666666667,1.0,AR,FigS1_1.4atm,0.0008081943319659832,0.8081943319659831
Reduced,0.0,1.4,2026.3157894736842,0.4935064935064935,1.0,AR,FigS1_1.4atm,0.0006487716870546862,0.6487716870546861
Reduced,0.0,1.4,2078.9473684210525,0.4810126582278481,1.0,AR,FigS1_1.4atm,0.0005283338911139909,0.528333891113991
Reduced,0.0,1.4,2131.578947368421,0.46913580246913583,1.0,AR,FigS1_1.4atm,0.0004353956771473284,0.43539567714732835
Reduced,0.0,1.4,2184.2105263157896,0.4578313253012048,1.0,AR,FigS1_1.4atm,0.0003632196790617639,0.36321967906176394
Reduced,0.0,1.4,2236.842105263158,0.4470588235294118,1.0,AR,FigS1_1.4atm,0.0003062852953540462,0.3062852953540462
Reduced,0.0,1.4,2289.4736842105262,0.4367816091954023,1.0,AR,FigS1_1.4atm,0.00026086417267585037,0.2608641726758504
Reduced,0.0,1.4,2342.1052631578946,0.4269662921348315,1.0,AR,FigS1_1.4atm,0.00022485132215001294,0.22485132215001294
Reduced,0.0,1.4,2394.7368421052633,0.41758241758241754,1.0,AR,FigS1_1.4atm,0.00019593448844075395,0.19593448844075395
Reduced,0.0,1.4,2447.3684210526317,0.4086021505376344,1.0,AR,FigS1_1.4atm,0.00017376699158799217,0.17376699158799216
Reduced,0.0,1.4,2500.0,0.4,1.0,AR,FigS1_1.4atm,0.10098450409022335,100.98450409022334
Reduced,0.0,11.0,1500.0,0.6666666666666666,1.0,AR,FigS1_11atm,0.0035074168763415416,3.5074168763415416
Reduced,0.0,11.0,1552.6315789473683,0.6440677966101696,1.0,AR,FigS1_11atm,0.00196893124476938,1.9689312447693799
Reduced,0.0,11.0,1605.2631578947369,0.6229508196721312,1.0,AR,FigS1_11atm,0.0011869113425645266,1.1869113425645266
Reduced,0.0,11.0,1657.8947368421052,0.6031746031746031,1.0,AR,FigS1_11atm,0.0007583201061188211,0.7583201061188212
Reduced,0.0,11.0,1710.5263157894738,0.5846153846153845,1.0,AR,FigS1_11atm,0.0005082307087127835,0.5082307087127835
Reduced,0.0,11.0,1763.157894736842,0.5671641791044776,1.0,AR,FigS1_11atm,0.0003541675815210691,0.3541675815210691
Reduced,0.0,11.0,1815.7894736842104,0.5507246376811594,1.0,AR,FigS1_11atm,0.00025514345303395653,0.2551434530339565
Reduced,0.0,11.0,1868.421052631579,0.5352112676056338,1.0,AR,FigS1_11atm,0.00018893475389712981,0.18893475389712983
Reduced,0.0,11.0,1921.0526315789473,0.5205479452054794,1.0,AR,FigS1_11atm,0.00014318588734762611,0.1431858873476261
Reduced,0.0,11.0,1973.6842105263158,0.5066666666666667,1.0,AR,FigS1_11atm,0.00011084141070178258,0.11084141070178258
Reduced,0.0,11.0,2026.3157894736842,0.4935064935064935,1.0,AR,FigS1_11atm,8.729952732184905e-05,0.08729952732184905
Reduced,0.0,11.0,2078.9473684210525,0.4810126582278481,1.0,AR,FigS1_11atm,6.983452091536231e-05,0.06983452091536231
Reduced,0.0,11.0,2131.578947368421,0.46913580246913583,1.0,AR,FigS1_11atm,5.668750649340775e-05,0.05668750649340775
Reduced,0.0,11.0,2184.2105263157896,0.4578313253012048,1.0,AR,FigS1_11atm,4.658888134246712e-05,0.04658888134246712
Reduced,0.0,11.0,2236.842105263158,0.4470588235294118,1.0,AR,FigS1_11atm,3.876307907043581e-05,0.03876307907043581
Reduced,0.0,11.0,2289.4736842105262,0.4367816091954023,1.0,AR,FigS1_11atm,3.254751305238543e-05,0.03254751305238543
Reduced,0.0,11.0,2342.1052631578946,0.4269662921348315,1.0,AR,FigS1_11atm,2.763583283387167e-05,0.02763583283387167
Reduced,0.0,11.0,2394.7368421052633,0.41758241758241754,1.0,AR,FigS1_11atm,2.3690987487426795e-05,0.023690987487426794
Reduced,0.0,11.0,2447.3684210526317,0.4086021505376344,1.0,AR,FigS1_11atm,2.046175189861813e-05,0.020461751898618128
Reduced,0.0,11.0,2500.0,0.4,1.0,AR,FigS1_11atm,1.7845016739992313e-05,0.017845016739992312
Reduced,0.0,43.4,900.0,1.1111111111111112,0.35,N2,FigS2a,10.051100527027033,10051.100527027034
Reduced,0.0,43.4,921.0526315789474,1.0857142857142856,0.35,N2,FigS2a,7.977872088348432,7977.872088348432
Reduced,0.0,43.4,942.1052631578948,1.0614525139664803,0.35,N2,FigS2a,4.163474068947412,4163.474068947412
Reduced,0.0,43.4,963.1578947368421,1.0382513661202186,0.35,N2,FigS2a,2.2348117781194685,2234.8117781194687
Reduced,0.0,43.4,984.2105263157895,1.0160427807486632,0.35,N2,FigS2a,1.231342426598232,1231.3424265982321
Reduced,0.0,43.4,1005.2631578947369,0.9947643979057591,0.35,N2,FigS2a,0.6952889028565871,695.288902856587
Reduced,0.0,43.4,1026.3157894736842,0.9743589743589745,0.35,N2,FigS2a,0.4018273220715171,401.82732207151713
Reduced,0.0,43.4,1047.3684210526317,0.9547738693467336,0.35,N2,FigS2a,0.23740412124896626,237.40412124896625
Reduced,0.0,43.4,1068.421052631579,0.9359605911330049,0.35,N2,FigS2a,0.14323313613626598,143.23313613626598
Reduced,0.0,43.4,1089.4736842105262,0.9178743961352658,0.35,N2,FigS2a,0.08816161498877227,88.16161498877227
Reduced,0.0,43.4,1110.5263157894738,0.9004739336492891,0.35,N2,FigS2a,0.05531002674466107,55.310026744661066
Reduced,0.0,43.4,1131.578947368421,0.8837209302325582,0.35,N2,FigS2a,0.03533867193739137,35.33867193739137
