mechanism,XH2_fuel,P_atm,T_unburned_K,phi,Su_m_s
Reduced,0.0,1.0,298.0,1.1,0.07344420222850054
Reduced,0.0,1.0,298.0,1.2,0.07139335049578975
Reduced,0.0,1.0,298.0,1.3,0.06614237348764865
Reduced,0.0,1.0,298.0,1.4,0.05937791918983291
Reduced,0.2,1.0,298.0,0.7,0.06240948860778436
Reduced,0.2,1.0,298.0,0.8,0.08418800938019987
Reduced,0.2,1.0,298.0,0.9,0.10164055264829498
Reduced,0.2,1.0,298.0,1.0,0.11494063206770011
Reduced,0.2,1.0,298.0,1.1,0.11907920877390982
Reduced,0.2,1.0,298.0,1.2,0.11592866746526526
Reduced,0.2,1.0,298.0,1.3,0.1102773816920689
Reduced,0.2,1.0,298.0,1.4,0.10083535284849231
Reduced,0.4,1.0,298.0,0.7,0.1348887093188042
Reduced,0.4,1.0,298.0,0.8,0.17328295082015
Reduced,0.4,1.0,298.0,0.9,0.20952227641244667
Reduced,0.4,1.0,298.0,1.0,0.23943776353325522
Reduced,0.4,1.0,298.0,1.1,0.24131288954796026
Reduced,0.4,1.0,298.0,1.2,0.21458579026137128
Reduced,0.4,1.0,298.0,1.3,0.2001853815499677
Reduced,0.4,1.0,298.0,1.4,0.1869046766915138
Reduced,0.6,1.0,298.0,0.7,0.31261370966756225
Reduced,0.6,1.0,298.0,0.8,0.4215561678581566
Reduced,0.6,1.0,298.0,0.9,0.5226733962705804
Reduced,0.6,1.0,298.0,1.0,0.6013224147467815
Reduced,0.6,1.0,298.0,1.1,0.6317380520119114
Reduced,0.6,1.0,298.0,1.2,0.5994700638847748
Reduced,0.6,1.0,298.0,1.3,0.5131357779702965
Reduced,0.6,1.0,298.0,1.4,0.41629011696792106
Reduced,0.8,1.0,298.0,0.7,0.6355628845925828
Reduced,0.8,1.0,298.0,0.8,0.8710463169557011
Reduced,0.8,1.0,298.0,0.9,1.0890022469941183
Reduced,0.8,1.0,298.0,1.0,1.2704840303548435
Reduced,0.8,1.0,298.0,1.1,1.3983529849073006
Reduced,0.8,1.0,298.0,1.2,1.4664377973674971
Reduced,0.8,1.0,298.0,1.3,1.4756328468418625
Reduced,0.8,1.0,298.0,1.4,1.4299363436111563
Reduced,1.0,1.0,298.0,0.7,1.473125565971879
Reduced,1.0,1.0,298.0,0.8,1.8271407645375584
Reduced,1.0,1.0,298.0,0.9,2.1300443790875
Reduced,1.0,1.0,298.0,1.0,2.38837811917068
Reduced,1.0,1.0,298.0,1.1,2.5997511967682243
Reduced,1.0,1.0,298.0,1.2,2.766674733214288
Reduced,1.0,1.0,298.0,1.3,2.8985444769851147
Reduced,1.0,1.0,298.0,1.4,2.9935216340812105
Optimized,0.0,1.0,298.0,0.7,0.024904413663567243
Optimized,0.0,1.0,298.0,0.8,0.04144208993460025
Optimized,0.0,1.0,298.0,0.9,0.0579211680622716
Optimized,0.0,1.0,298.0,1.0,0.07624447697196074
Optimized,0.0,1.0,298.0,1.1,0.08632625457923206
Optimized,0.0,1.0,298.0,1.2,0.0795594372579286
Optimized,0.0,1.0,298.0,1.3,0.06972950577323192
Optimized,0.0,1.0,298.0,1.4,0.060573911335007787
Optimized,0.2,1.0,298.0,0.7,0.060699778923772686
Optimized,0.2,1.0,298.0,0.8,0.09000290420112796
Optimized,0.2,1.0,298.0,0.9,0.12133143980319086
Optimized,0.2,1.0,298.0,1.0,0.15241548464862575
Optimized,0.2,1.0,298.0,1.1,0.16020398845872216
Optimized,0.2,1.0,298.0,1.2,0.14414284962335003
Optimized,0.2,1.0,298.0,1.3,0.12883715323345124
Optimized,0.2,1.0,298.0,1.4,0.11379347956503504
Optimized,0.4,1.0,298.0,0.7,0.15035326706634947
Optimized,0.4,1.0,298.0,0.8,0.20902662571123362
Optimized,0.4,1.0,298.0,0.9,0.2769082354689437
Optimized,0.4,1.0,298.0,1.0,0.33310684692631654
Optimized,0.4,1.0,298.0,1.1,0.34878618810814405
Optimized,0.4,1.0,298.0,1.2,0.30291297822105034
Optimized,0.4,1.0,298.0,1.3,0.2501523416297606
Optimized,0.4,1.0,298.0,1.4,0.22031332320619923
Optimized,0.6,1.0,298.0,0.7,0.34949647832411235
Optimized,0.6,1.0,298.0,0.8,0.4716948756409204
Optimized,0.6,1.0,298.0,0.9,0.5932759682688342
Optimized,0.6,1.0,298.0,1.0,0.6899637842877459
Optimized,0.6,1.0,298.0,1.1,0.738562703319519
Optimized,0.6,1.0,298.0,1.2,0.7219758194016933
Optimized,0.6,1.0,298.0,1.3,0.6487232639880469
Optimized,0.6,1.0,298.0,1.4,0.5432911446903312
Optimized,0.8,1.0,298.0,0.7,0.6787996033144851
Optimized,0.8,1.0,298.0,0.8,0.9224794189001689
Optimized,0.8,1.0,298.0,0.9,1.1440341325731516
Optimized,0.8,1.0,298.0,1.0,1.3228129371381245
Optimized,0.8,1.0,298.0,1.1,1.4466310086197853
Optimized,0.8,1.0,298.0,1.2,1.5102363740160663
Optimized,0.8,1.0,298.0,1.3,1.514966019374116
Optimized,0.8,1.0,298.0,1.4,1.4669331424515522
Optimized,1.0,1.0,298.0,0.7,1.4731261142431336
Optimized,1.0,1.0,298.0,0.8,1.827138671826815
Optimized,1.0,1.0,298.0,0.9,2.1300405279516594
Optimized,1.0,1.0,298.0,1.0,2.388373230783036
Optimized,1.0,1.0,298.0,1.1,2.5997458257440305
Optimized,1.0,1.0,298.0,1.2,2.7666692375343316
