mechanism,XH2_fuel,P_atm,T_K,X_NH3,X_H2O,X_NO,X_N2O
Full,0.05,1.0,1060.0,1.9384098136435456e-07,0.27828558788893915,0.004238592898523252,1.937658608995357e-07
Full,0.05,1.0,1070.0,1.8870377840591657e-07,0.27773781176255447,0.004277163968102705,1.9573495941537208e-07
Full,0.05,1.0,1080.0,1.8380893823514933e-07,0.27718584640831756,0.004316753772862389,1.9775256425593907e-07
Full,0.05,1.0,1090.0,1.791441724034531e-07,0.27662975455295663,0.004357331759333511,1.9981618232061573e-07
Full,0.05,1.0,1100.0,1.7469790188185895e-07,0.2760695989101468,0.004398867528787186,2.0192347972321112e-07
Full,0.05,1.0,1110.0,1.7045920984272432e-07,0.2755054421491432,0.004441330928700338,2.040722691049354e-07
Full,0.05,1.0,1120.0,1.662748804767397e-07,0.27493739214369856,0.004484314823222894,2.0624527548349874e-07
Full,0.05,1.0,1130.0,1.6256396449676293e-07,0.27436537555239165,0.004528921751388228,2.0848624022844897e-07
Full,0.05,1.0,1140.0,1.5888852904196474e-07,0.2737895905819279,0.004573990803319619,2.1074768187252778e-07
Full,0.05,1.0,1150.0,1.5524956087880312e-07,0.27321009368837207,0.004619521156985938,2.1302924333488845e-07
Full,0.05,1.0,1160.0,1.5203871140411745e-07,0.27262682839457514,0.004666534020938003,2.1537093617210376e-07
Full,0.05,1.0,1170.0,1.487210544021142e-07,0.2720400111464303,0.004713620688529942,2.1771655157305752e-07
Full,0.05,1.0,1180.0,1.4580465587802786e-07,0.271449555974673,0.0047621010928042586,2.201177380544807e-07
Full,0.05,1.0,1190.0,1.4290050510632534e-07,0.27085563245169714,0.00481095225169728,2.2253392767231295e-07
Full,0.05,1.0,1200.0,1.4012942645946554e-07,0.27025826574828854,0.0048604810604373555,2.2497690397049132e-07
Full,0.05,1.0,1210.0,1.3748522725395116e-07,0.26965751682781414,0.00491066276039173,2.2744544654786076e-07
Full,0.05,1.0,1220.0,1.3496204271901973e-07,0.2690534463911462,0.004961473251729969,2.2993839625011452e-07
Full,0.05,1.0,1230.0,1.325543163253923e-07,0.26844611486405423,0.005012889094106714,2.3245465072813456e-07
Full,0.05,1.0,1240.0,1.3036648738397265e-07,0.2678355563579234,0.0050651660059053225,2.3500392698764452e-07
Full,0.05,1.0,1250.0,1.2806444433066819e-07,0.26722190879493174,0.005117446350739941,2.3755292460711851e-07
