mechanism,config,distance_cm,T_K,X_NH3,X_H2O,X_NO,X_N2O,X_OH,X_H2,X_O2,X_N2
Reduced,pure_NH3_350K,0.28320312500000006,1931.1571447750266,0.006066942085153003,0.2860082961721098,0.0009208923734871922,0.0014980904058116877,0.0015073339860794434,0.010206079250743709,0.012920990829007627,0.6791329608938483
Reduced,pure_NH3_350K,0.28515625000000006,1937.205303882798,0.00546636873514757,0.28696712967880544,0.0009603181939182247,0.0014279506041236444,0.001593600645872725,0.01011588262679581,0.01223488248431072,0.6795377042533942
Reduced,pure_NH3_350K,0.28710937500000006,1942.8707389658127,0.0049152037133012505,0.28786422915890114,0.0010002066561749143,0.001357690412446123,0.0016804982539045576,0.010024462139483657,0.011588294332106517,0.6799156059064165
Reduced,pure_NH3_350K,0.2890625000000001,1948.1644043677047,0.00441088802076127,0.28870171032166847,0.001040339063593396,0.0012875925705939418,0.0017676071726007586,0.009932332609658484,0.010980230452394707,0.6802675601804309
Reduced,pure_NH3_350K,0.2910156250000001,1953.0985156087183,0.003950784344598344,0.2894818477732216,0.0010804895185498105,0.0012179436361782203,0.0018545017988842193,0.009839991209312818,0.010409588427373311,0.6805945406757221
Reduced,pure_NH3_350K,0.2929687500000001,1957.6864101049841,0.003532209725283588,0.2902070485925346,0.0011204296960446703,0.0011490304289413608,0.001940758297702826,0.009747911394675797,0.009875170592455972,0.6808975864565135
Reduced,pure_NH3_350K,0.2949218750000001,1961.9423927306802,0.0031524667257925108,0.2908798251032066,0.0011599337784885997,0.0010811358717173996,0.0020259622574898377,0.009656537558149136,0.009375696024859572,0.6811777883574961
Reduced,pure_NH3_350K,0.2968750000000001,1965.8815697909683,0.0028088724592022856,0.2915027674547455,0.0011987833333120788,0.0010145344504152028,0.0021097159787401044,0.009566280502813388,0.008909813083641034,0.6814362756224054
Reduced,pure_NH3_350K,0.2988281250000001,1969.5196754038136,0.002498784948457908,0.2920785166065184,0.0012367719167069371,0.0009494875462707638,0.0021916451336983435,0.009477513813070026,0.008476112300634567,0.6816742030657498
Reduced,pure_NH3_350K,0.3007812500000001,1972.872894533733,0.0022196264231067846,0.2926097382632393,0.0012737092047128053,0.0008862389015928394,0.00227140457700796,0.009390571162998344,0.008073139412721739,0.6818927389232134
Reduced,pure_NH3_350K,0.3027343750000001,1975.9576869626883,0.001968903294383354,0.2930990982478782,0.0013094244850271823,0.0008250104658876359,0.0023486831397532236,0.009305744571831498,0.007699408323150759,0.682093053529931
Reduced,pure_NH3_350K,0.3046875000000001,1978.7906163218586,0.001744222683581265,0.29354923972004643,0.0013437693858808486,0.0007659988355266487,0.0024232072976907324,0.009223283585060967,0.007353413783623747,0.6822763089402212
Reduced,pure_NH3_350K,0.3066406250000001,1981.3881879583723,0.0015433055017202058,0.29396276256236326,0.001376619767657903,0.000709372451750129,0.0024947436635306386,0.009143395331465309,0.007033643599720649,0.6824436495758467
Reduced,pure_NH3_350K,0.3085937500000001,1983.7666989033137,0.001363996184961212,0.2943422051682985,0.0014078767538688753,0.0006552696645060861,0.002563100308028479,0.009066245381834669,0.00673859017953961,0.6825961939644549
Reduced,pure_NH3_350K,0.31054687500000006,1985.9421025827205,0.0012042692751954688,0.2946900287806275,0.0014374669261049936,0.0006037977092917632,0.0026281269607979093,0.008991959314927056,0.006466761268520322,0.6827350276039535
Reduced,pure_NH3_350K,0.31250000000000006,1987.9298902211744,0.0010622330945994193,0.2950086044552711,0.0014653417489827768,0.000555032586053724,0.0026897141743508837,0.0089206248801656,0.00621668974124959,0.6828611969649959
Reduced,pure_NH3_350K,0.31445312500000006,1989.7449901831587,0.000936130792074347,0.295300202671995,0.0014914763232142015,0.0005090197774162315,0.0027477915474923924,0.008852294633596403,0.0059869423525241465,0.6829757046224401
Reduced,pure_NH3_350K,0.31640625,1991.40168584415,0.0008243390308070554,0.2955669855960071,0.0015158675863525875,0.0004657757007716917,0.0028023250854005474,0.008786988910737314,0.005776127384114077,0.6830795054912131
Reduced,pure_NH3_350K,0.318359375,1992.913552065043,0.0007253645246998309,0.2958110020428558,0.001538532090846081,0.0004252897567527649,0.002853313699460941,0.008724698980674255,0.005582901160129789,0.6831735041375849
Reduced,pure_NH3_350K,0.3203125,1994.2934100969276,0.0006378384861352502,0.2960341853755451,0.00155950348693617,0.0003875268172566021,0.0029007846662888353,0.008665390186746282,0.005405973443506773,0.6832585531530412
Reduced,pure_NH3_350K,0.32421875,1996.6934055308914,0.0004933628889226562,0.2964235413918802,0.0015965136747622913,0.00031999451626106595,0.0029853275405210297,0.008555537420159588,0.005097292093291346,0.6834042126506561
Reduced,pure_NH3_350K,0.32812500000000006,1998.7024866082795,0.000381013863050124,0.2967501358508213,0.001627527063825266,0.0002623415239333559,0.003056867120162408,0.008456679791412909,0.004839364748478883,0.683523278964303
Reduced,pure_NH3_350K,0.33203125000000006,2000.393804673927,0.00029393220453765017,0.2970250329417383,0.0016531837780968312,0.00021368996498519506,0.0031164133141303695,0.00836794849607193,0.004624162214905822,0.6836206168139455
Reduced,pure_NH3_350K,0.33593750000000006,2001.8288028044815,0.00022660018395632967,0.2972576142381329,0.001674168230966388,0.0001730572325144608,0.003165115973374577,0.008288368439197514,0.004444657150948209,0.6837003347915382
Reduced,pure_NH3_350K,0.33984375000000006,2003.0583206184974,0.00017462957989472015,0.29745573547778836,0.0016911589651546171,0.0001394312947457721,0.0032041848428945433,0.008216928488736099,0.00429478246894458,0.6837658575048712
Reduced,pure_NH3_350K,0.34375000000000006,2004.1238898149454,0.00013456070229637704,0.2976259075773437,0.0017047941920257154,0.00011182678672918559,0.0032348239385501655,0.008152633826071419,0.004169362255943202,0.6838200074618747
Reduced,pure_NH3_350K,0.34765625000000006,2005.0590749865232,0.00010368431777225119,0.2977734809897761,0.0017156511296666792,8.932309528204591e-05,0.003258183848923113,0.008094542286628988,0.004064026235725539,0.6838650886343524
Reduced,pure_NH3_350K,0.35156250000000006,2005.890761567404,7.9889826831617e-05,0.2979028216543913,0.001724236281035142,7.108703805805116e-05,0.003275330555393871,0.008041787142067014,0.003975116841052263,0.683902966474267
Reduced,pure_NH3_350K,0.35546875000000006,2006.6403317891743,6.153910034924003e-05,0.2980174720680894,0.0017309836035476458,5.63834067621191e-05,0.0032872277358438574,0.00799358906069331,0.003899595737375508,0.6839351412375574
Reduced,pure_NH3_350K,0.35937500000000006,2007.3247002207586,4.736344703600676e-05,0.29812029484620484,0.0017362578046345501,4.457670020701878e-05,0.003294728848361439,0.007949259800635891,0.0038349545460807577,0.6839628130611525
Reduced,pure_NH3_350K,0.36718750000000006,2008.5378799049106,2.858788011156847e-05,0.2982973926281951,0.001743291877458737,2.8033693346929577e-05,0.0032987644674776595,0.007870406067284348,0.0037321267781203218,0.6840075186801929
Reduced,pure_NH3_350K,0.37500000000000006,2009.617583413112,1.7326492578632352e-05,0.29844966223611497,0.0017474293038110692,1.754638057662051e-05,0.00329298618855829,0.007800824148742831,0.0036522820076044667,0.6840434819411767
Reduced,pure_NH3_350K,0.38281250000000006,2010.6072777015966,1.0544135574964024e-05,0.29858527343425817,0.0017497773783119108,1.0950957628176445e-05,0.003280723026090418,0.007737852726169837,0.003587667745526667,0.6840739040354222
Reduced,pure_NH3_350K,0.390625,2011.5334752681895,6.436635702762789e-06,0.2987094254305153,0.001751033286103201,6.822294656636778e-06,0.003264291385238008,0.007679641773567254,0.003533214387341818,0.6841007624404327
Reduced,pure_NH3_350K,0.3984375,2012.4124292617537,3.928961623764929e-06,0.2988254302241092,0.001751629118988494,4.239415433841803e-06,0.0032452728597074836,0.0076249238575360045,0.003485620777275196,0.6841252760152162
Reduced,pure_NH3_350K,0.40625,2013.254240209238,2.3763017176627654e-06,0.2989354110394809,0.0017518305256283818,2.6134748547545358e-06,0.0032247340843526897,0.007572836874014133,0.003442736107193549,0.6841481989079441
Reduced,pure_NH3_350K,0.421875,2014.8457885531832,9.604873798309861e-07,0.29914144227642825,0.0017515408367306021,1.1036549522815423e-06,0.00318124319713496,0.00747479473463128,0.00336685753039079,0.6841906929780076
Reduced,pure_NH3_350K,0.43750000000000006,2016.3431225818326,3.955565118123777e-07,0.29933473051730186,0.0017509170508816243,4.946605036849752e-07,0.003137411700916976,0.007382369316098701,0.0032983180530953915,0.6842305024386152
Reduced,pure_NH3_350K,0.45312500000000006,2017.7592017689321,1.6523606418581593e-07,0.29951783194416204,0.0017501723553204702,2.4657700882554777e-07,0.003094437847524352,0.007294353967129015,0.0032346735875873906,0.6842683344904706
Reduced,pure_NH3_350K,0.46875000000000006,2019.102017842245,6.712603742552978e-08,0.29969211036436616,0.0017493877938304996,1.4180346552504937e-07,0.003052799016017107,0.007210109959153929,0.0031747673957043705,0.6843045226622032
Reduced,pure_NH3_350K,0.5000000000000001,2021.5853138827297,1.783956855594263e-08,0.3000166886487537,0.0017477945767280065,8.940609023465283e-08,0.002974094819231583,0.007051804517233638,0.00306434904905807,0.684372525494102
Reduced,pure_NH3_350K,0.5312500000000001,2023.8464819255917,7.0977799683152e-09,0.30031471394136444,0.0017462214681082712,7.749544426872612e-08,0.0029010659017390653,0.006905083928313202,0.0029636569474426277,0.6844355085496352
Reduced,pure_NH3_350K,0.5625000000000001,2025.9135429212354,4.6766720145160056e-09,0.30058934523393865,0.0017446768782986165,7.413275261021669e-08,0.002833234863254879,0.006768675966333565,0.002871376475149041,0.6844940382675548
Reduced,pure_NH3_350K,0.5937500000000002,2027.8097929506057,4.128970170806604e-09,0.3008431858324631,0.001743161396669912,7.26383256792898e-08,0.002770110639041616,0.006641534338755106,0.002786503785844961,0.6845485803235022
Reduced,pure_NH3_350K,0.6250000000000001,2029.554864045776,4.017959258653895e-09,0.30107844528770233,0.00174167420624562,7.157654168522003e-08,0.0027112477559412553,0.0065227617377708064,0.002708209954482289,0.6845995328648276
Reduced,pure_NH3_350K,0.6562500000000001,2031.1654187115603,4.010421084941025e-09,0.30129702011069265,0.0017402142778572543,7.06299526767157e-08,0.002656252797426801,0.006411577215739522,0.0026357926856193613,0.6846472410367783
Reduced,pure_NH3_350K,0.6875000000000001,2032.6556681706516,4.026300527171188e-09,0.3015005479269935,0.0017387806013007137,6.972677232483878e-08,0.0026047801019544715,0.0063072962437800886,0.0025686511175391337,0.6846920061997616
Reduced,pure_NH3_350K,0.7187500000000001,2034.0377747653854,4.045860357918446e-09,0.3016904486383431,0.0017373722358607002,6.885081454360094e-08,0.002556525990735563,0.00620931587180408,0.002506268806397788,0.6847340928512439
Reduced,pure_NH3_350K,0.7500000000000001,2035.3221679263415,4.0642360267936034e-09,0.3018679570144472,0.0017359883271452822,6.799878375873268e-08,0.0025112234476373126,0.006117102860060072,0.0024482009901155544,0.6847737341178471
